Team1,Team2,Rounds,Stadium,City,Day,Month,Year,Score1,Score2,Remarks
Ghana,Australia,Group Phase,Royal Bafokeng Sports Palace,Phokeng,19,6,2010,1,1,
Cameroon,Denmark,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,19,6,2010,1,2,
Slovakia,Paraguay,Group Phase,Free State Stadium,Mangaung/Bloemfontein,20,6,2010,0,2,
Italy,New Zealand,Group Phase,Mbombela Stadium,Nelspruit,20,6,2010,1,1,
Brazil,Côte d'Ivoire,Group Phase,Soccer City Stadium,Johannesburg,20,6,2010,3,1,
Portugal,Korea DPR,Group Phase,Cape Town Stadium,Cape Town,21,6,2010,7,0,
Chile,Switzerland,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,21,6,2010,1,0,
Spain,Honduras,Group Phase,Ellis Park Stadium,Johannesburg,21,6,2010,2,0,
Mexico,Uruguay,Group Phase,Royal Bafokeng Sports Palace,Phokeng,22,6,2010,0,1,
France,South Africa,Group Phase,Free State Stadium,Mangaung/Bloemfontein,22,6,2010,1,2,
Nigeria,Korea Republic,Group Phase,Durban Stadium,Durban,22,6,2010,2,2,
Greece,Argentina,Group Phase,Peter Mokaba Stadium,Polokwane,22,6,2010,0,2,
Slovenia,England,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,23,6,2010,0,1,
USA,Algeria,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,23,6,2010,1,0,
Ghana,Germany,Group Phase,Soccer City Stadium,Johannesburg,23,6,2010,0,1,
Australia,Serbia,Group Phase,Mbombela Stadium,Nelspruit,23,6,2010,2,1,
Slovakia,Italy,Group Phase,Ellis Park Stadium,Johannesburg,24,6,2010,3,2,
Paraguay,New Zealand,Group Phase,Peter Mokaba Stadium,Polokwane,24,6,2010,0,0,
Denmark,Japan,Group Phase,Royal Bafokeng Sports Palace,Phokeng,24,6,2010,1,3,
