Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,Winner
Germany,Ghana,Group Phase,2014-6-21,21,6,2014,2,2,2.0,1300,37.0,704,0
Nigeria,Bosnia and Herzegovina,Group Phase,2014-6-21,21,6,2014,1,0,44.0,640,21.0,873,1
Belgium,Russia,Group Phase,2014-6-22,22,6,2014,1,0,11.0,1074,19.0,893,1
Korea Republic,Algeria,Group Phase,2014-6-22,22,6,2014,2,4,57.0,547,22.0,858,2
USA,Portugal,Group Phase,2014-6-22,22,6,2014,2,2,13.0,1035,4.0,1189,0
Australia,Spain,Group Phase,2014-6-23,23,6,2014,0,3,62.0,526,1.0,1485,2
Netherlands,Chile,Group Phase,2014-6-23,23,6,2014,2,0,15.0,981,14.0,1026,1
Cameroon,Brazil,Group Phase,2014-6-23,23,6,2014,1,4,56.0,558,3.0,1242,2
Croatia,Mexico,Group Phase,2014-6-23,23,6,2014,1,3,18.0,903,20.0,882,2
Italy,Uruguay,Group Phase,2014-6-24,24,6,2014,0,1,9.0,1104,7.0,1147,2
Costa Rica,England,Group Phase,2014-6-24,24,6,2014,0,0,28.0,762,10.0,1090,0
Japan,Colombia,Group Phase,2014-6-24,24,6,2014,1,4,46.0,626,8.0,1137,2
Greece,Côte dIvoire,Group Phase,2014-6-24,24,6,2014,2,1,12.0,1064,23.0,809,1
Nigeria,Argentina,Group Phase,2014-6-25,25,6,2014,2,3,44.0,640,5.0,1175,2
Bosnia and Herzegovina,IR Iran,Group Phase,2014-6-25,25,6,2014,3,1,21.0,873,43.0,641,1
Honduras,Switzerland,Group Phase,2014-6-25,25,6,2014,0,3,33.0,731,6.0,1149,2
Ecuador,France,Group Phase,2014-6-25,25,6,2014,0,0,26.0,791,17.0,913,0
USA,Germany,Group Phase,2014-6-26,26,6,2014,0,1,13.0,1035,2.0,1300,2
Portugal,Ghana,Group Phase,2014-6-26,26,6,2014,2,1,4.0,1189,37.0,704,1
Korea Republic,Belgium,Group Phase,2014-6-26,26,6,2014,0,1,57.0,547,11.0,1074,2
Algeria,Russia,Group Phase,2014-6-26,26,6,2014,1,1,22.0,858,19.0,893,0
Brazil,Chile,Round of 16,2014-6-28,28,6,2014,1,1,3.0,1242,14.0,1026,0
Colombia,Uruguay,Round of 16,2014-6-28,28,6,2014,2,0,8.0,1137,7.0,1147,1
